participant_index,stimulus_index,stimulus_type,response_time,tails.0,tails.1,tails.2,tails.3,tails.4,tails.5,tails.6,tails.7,X.2,heads.0,heads.1,heads.2,heads.3,heads.4,heads.5,heads.6,heads.7,X.0,X.1,test.1,mod.0,test.0,mod.7,mod.1,mod.4,mod.3,test.2,mod.6,mod.5,mod.2,prob.1,prob.0,prob.3,prob.2,prob.5,prob.4,prob.7,prob.6
10,1,psychic,,53,45,49,41,13,37,1,30,,47,55,51,59,87,63,99,70,,,,1,,1,1,1,1,,1,1,1,2,1,2,2,72,92,71,96
10,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
12,1,psychic,,1,13,45,53,37,30,41,49,,99,87,55,47,63,70,59,51,,,,1,,1,1,1,1,,1,1,1,54,70,23,30,59,48,41,40
12,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
79,1,chickens,,45,41,53,37,49,1,13,30,,55,59,47,63,51,99,87,70,,,,1,,1,1,1,1,,1,1,1,58,37,93,53,95,31,92,87
79,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
28,1,chickens,,30,45,41,37,13,1,53,49,,70,55,59,63,87,99,47,51,,,,1,,1,1,1,1,,1,1,1,13,71,80,47,100,96,50,46
28,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
8,1,chickens,,13,45,30,49,37,41,53,1,,87,55,70,51,63,59,47,99,,,,1,,1,1,1,1,,1,1,1,13,97,1,90,24,73,99,8
8,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
2,1,chickens,,30,49,37,13,1,41,45,53,,70,51,63,87,99,59,55,47,,,,1,,1,1,1,1,,1,1,1,5,85,95,60,20,100,5,5
2,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
112,1,chickens,,1,13,41,45,37,49,30,53,,99,87,59,55,63,51,70,47,,,,1,,1,1,1,1,,1,1,1,78,94,17,23,2,41,4,85
112,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
44,1,psychic,,37,13,49,45,1,53,41,30,,63,87,51,55,99,47,59,70,,,,1,,1,1,1,1,,1,1,1,96,46,2,0,2,99,65,14
44,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
24,1,psychic,,49,37,45,13,41,1,53,30,,51,63,55,87,59,99,47,70,,,,1,,1,1,1,1,,1,1,1,10,5,30,8,35,9,20,5
24,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
36,1,psychic,,30,45,37,41,53,49,1,13,,70,55,63,59,47,51,99,87,,,,1,,1,1,1,1,,1,1,1,1,80,6,61,1,1,95,100
36,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
110,1,chickens,,53,13,45,41,30,49,37,1,,47,87,55,59,70,51,63,99,,,,1,,1,1,1,1,,1,1,1,54,44,70,55,55,68,51,53
110,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
58,1,chickens,,45,37,41,30,49,13,53,1,,55,63,59,70,51,87,47,99,,,,1,,1,1,1,1,,1,1,1,50,1,75,7,90,0,99,0
58,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
21,1,psychic,,41,37,53,45,30,49,13,1,,59,63,47,55,70,51,87,99,,,,1,,1,1,1,1,,1,1,1,0,0,0,0,0,0,5,0
